"BLOC","ID","ARTIFACTTYPE","FRACTURE","BACKED_EDGE","CORTEX","LENGHT","WIDTH","MAXTHICK","EPA","IPA","WEIGHT","Strategy"
"7","B7_922","Core edge with limited back","Complete","Cortical","4 (~100% cortex)",72.8,108.9,28.7,62,121,151.11,"Levallois"
"7","B7_926","Core edge with limited back","Complete","Prepared","1 (~25% cortex)",49.2,38.5,15.4,64,113,12.7,"Levallois"
"7","B7_939","Core Edge Flake","Complete","Prepared","1 (~25% cortex)",84,77.8,15,78,98,90.4,"Levallois"
"7","B7_944","Core edge with limited back","Complete","Cortical","0 (No Cortex)",59.4,77.5,16.2,64,100,67.44,"Levallois"
"7","B7_972","Core edge with limited back","Complete","Prepared","0 (No Cortex)",72.1,72.1,13,75,115,79,"Levallois"
"7","B7_978","Core edge with limited back","Complete","Plain","0 (No Cortex)",72.4,57.1,9.5,80,105,27.44,"Levallois"
"7","B7_979","Core Edge Flake","Complete","Prepared","0 (No Cortex)",59.3,51.7,15.3,56,115,35.07,"Levallois"
"7","B7_982","Core edge with limited back","Complete","Plain","0 (No Cortex)",93,103,26.2,80,95,143.03,"Levallois"
"7","B7_983","Core edge with limited back","Complete","Prepared","0 (No Cortex)",80.3,83.5,13,90,96,66.49,"Levallois"
"8","B8_1011","Core edge with limited back","Complete","Plain","0 (No Cortex)",38.3,43.1,6.8,82,96,8.63,"Levallois"
"8","B8_1028","pseudo-Levallois Point","Complete","Prepared","0 (No Cortex)",29.6,43.5,10.7,65,111,11.15,"Levallois"
"8","B8_1029","Core Edge Flake","Complete","Plain","0 (No Cortex)",68.8,53.8,14.5,65,110,40.51,"Levallois"
"8","B8_1032","Core Edge Flake","Complete","Plain","0 (No Cortex)",69.1,43.6,12.9,74,108,29.33,"Levallois"
"8","B8_1033","Core Edge Flake","Complete","Plain","0 (No Cortex)",49.1,24.6,15.1,90,93,14.31,"Levallois"
"8","B8_1035","Core edge with limited back","Complete","Plain","0 (No Cortex)",40,54.6,16.4,79,96,19.2,"Levallois"
"8","B8_1038","Core Edge Flake","Complete","Plain","0 (No Cortex)",56.7,42.3,13.7,60,110,29.12,"Levallois"
"8","B8_1051","Core edge with limited back","Complete","Cortical","4 (~100% cortex)",72.8,79.8,19.4,66,120,80.99,"Levallois"
"8","B8_1063","Core edge with limited back","Complete","Cortical","4 (~100% cortex)",83.7,89.5,38.4,73,104,243.83,"Levallois"
"8","B8_1115","Core Edge Flake","Complete","Cortical","3 (~75% coretx)",54.6,59,28.5,67,117,79.66,"Levallois"
"8","B8_1937","Core Edge Flake","Complete","Prepared","0 (No Cortex)",55.6,51.7,15.9,80,102,41.8,"Levallois"
"8","B8_NR1","Core Edge Flake","Complete","Prepared","0 (No Cortex)",77.8,49.7,17.8,58,112,75.35,"Levallois"
"8","B8_NR2","Core edge with limited back","Complete","Plain","1 (~25% cortex)",78.5,72.7,14.8,75,108,58.14,"Levallois"
"8","B8_NR3","Core edge with limited back","Complete","Plain","0 (No Cortex)",83.5,67,12.7,78,100,38.81,"Levallois"
"8","B8_NR4","Core edge with limited back","Complete","Plain","0 (No Cortex)",62.6,40.9,12.5,60,110,29.76,"Levallois"
"9","B9_1127","Core Edge Flake","Complete","Cortical","0 (No Cortex)",72,42.8,23.6,63,116,53.18,"Levallois"
"9","B9_1132","Core edge with limited back","Complete","Cortical","4 (~100% cortex)",92.5,110,51.2,61,129,445.47,"Levallois"
"9","B9_1133","Core edge with limited back","Complete","Plain","3 (~75% coretx)",92.4,70.4,15.1,70,123,57.6,"Levallois"
"9","B9_1193","Core edge with limited back","Complete","Plain","1 (~25% cortex)",29.2,37,5.7,86,100,4.26,"Levallois"
"9","B9_1209","Core edge with limited back","Complete","Cortical","2 (~50% cortex)",55.5,24.8,8.1,75,108,8.93,"Levallois"
"9","B9_1211","Core Edge Flake","Complete","Plain","1 (~25% cortex)",66.5,66.5,11.1,56,131,41.71,"Levallois"
"9","B9_1217","Core edge with limited back","Complete","Cortical","3 (~75% coretx)",49.9,48.7,11.5,64,113,19.29,"Levallois"
"9","B9_1295","Core edge with limited back","Complete","Cortical","1 (~25% cortex)",57.5,88.4,12.2,86,95,55.62,"Levallois"
"9","B9_1338","Core Edge Flake","Complete","Prepared","0 (No Cortex)",109.3,68.8,25.8,65,120,122.12,"Levallois"
"9","B9_1339","Core Edge Flake","Complete","Prepared","0 (No Cortex)",76.8,61.3,16.8,70,110,49.09,"Levallois"
"9","B9_1340","Core Edge Flake","Proximal Fragment","Plain","0 (No Cortex)",74.3,59.5,16,75,110,62.44,"Levallois"
"9","B9_1347","Core Edge Flake","Complete","Plain","0 (No Cortex)",100.8,50.9,17.4,70,97,50.54,"Levallois"
"9","B9_1348","Core Edge Flake","Complete","Plain","0 (No Cortex)",62.7,28.4,9.7,75,109,15.02,"Levallois"
"9","B9_1355","pseudo-Levallois Point","Complete","Prepared","0 (No Cortex)",39.6,45.2,9,70,120,13.06,"Levallois"
"9","B9_1362","Core edge with limited back","Complete","Cortical","0 (No Cortex)",23,25.6,6.4,80,99,2.43,"Levallois"
"9","B9_1368","Core edge with limited back","Complete","Cortical","1 (~25% cortex)",63.5,47.4,10.8,77,109,24.41,"Levallois"
"9","B9_1397","pseudo-Levallois Point","Complete","Prepared","0 (No Cortex)",56.6,60.9,9.7,66,110,17.61,"Levallois"
"Lev_15","Lev_15_05","Core edge with limited back","Complete","Prepared","0 (No Cortex)",24.7,38.5,7,72,92,4.76,"Levallois"
"Lev_15","Lev_15_10","Core edge with limited back","Complete","Prepared","0 (No Cortex)",51.8,46.8,6,80,98,14,"Levallois"
"Lev_15","Lev_15_14","Core edge with limited back","Complete","Prepared","0 (No Cortex)",45.5,54.7,6.3,89,93,15.06,"Levallois"
"Lev_15","Lev_15_15","pseudo-Levallois Point","Complete","Prepared","0 (No Cortex)",23.6,27,3.9,84,95,2.11,"Levallois"
"Lev_15","Lev_15_19","Core Edge Flake","Complete","Prepared","0 (No Cortex)",58.4,30,14.3,87,92,18.94,"Levallois"
"Lev_15","Lev_15_21","Core Edge Flake","Complete","Prepared","4 (~100% cortex)",68.6,39.8,9,82,100,17.33,"Levallois"
"Lev_15","Lev_15_22","Core Edge Flake","Complete","Cortical","4 (~100% cortex)",76.5,51.8,9.7,83,98,35.78,"Levallois"
"Lev_15","Lev_15_40","Core edge with limited back","Complete","Prepared","0 (No Cortex)",38.2,37.6,7.8,75,101,73.2,"Levallois"
"Lev_17","Lev_17_01","Core edge with limited back","Complete","Prepared","0 (No Cortex)",55.7,66.6,13.8,74,96,25.95,"Levallois"
"Lev_17","Lev_17_06","Core edge with limited back","Complete","Prepared","2 (~50% cortex)",69.2,80,21.3,80,98,67.49,"Levallois"
"Lev_17","Lev_17_09","Core edge with limited back","Complete","Prepared","0 (No Cortex)",49.3,49.5,13.5,77,100,18.07,"Levallois"
"Lev_17","Lev_17_10","Core edge with limited back","Complete","Cortical","4 (~100% cortex)",53.4,52.2,10.4,75,112,23.78,"Levallois"
"Lev_17","Lev_17_13","Core edge with limited back","Complete","Prepared","0 (No Cortex)",32.5,36.5,11.2,80,104,11.18,"Levallois"
"Lev_17","Lev_17_14","Core edge with limited back","Complete","Prepared","0 (No Cortex)",30.5,45.5,8,78,115,8.72,"Levallois"
"Lev_17","Lev_17_31","Core edge with limited back","Complete","Plain","1 (~25% cortex)",41.3,40.1,7.6,85,95,14.32,"Levallois"
"Lev_17","Lev_17_39","Core edge with limited back","Complete","Cortical","1 (~25% cortex)",26.4,27.5,4,65,104,2.61,"Levallois"
"Lev_17","Lev_17_44","Core edge with limited back","Complete","Plain","0 (No Cortex)",22.1,25.2,3.7,65,110,2.18,"Levallois"
